id_regla,consulta,contexto_rag_original,respuesta_final_llm,clasificacion_fidelidad,alucinacion_detectada
PRA-011,¿Qué funciones cumple el asesor de prácticas preprofesionales?,"El asesor orienta la preparación del plan de prácticas, supervisa la elaboración del informe final, acompaña la presenta...","El asesor orienta la preparación del plan de prácticas, supervisa la elaboración del informe final, acompaña la presentación oral y realiza visitas programadas a la entidad donde el estudiante desarrolla sus prácticas.",Fiel,No
PRA-012,¿Qué es el plan de prácticas preprofesionales?,El plan de prácticas es el documento que organiza las actividades que realizará el estudiante en la entidad receptora. D...,El plan de prácticas es el documento que organiza las actividades que realizará el estudiante en la entidad receptora. Debe prepararse con la orientación del docente asesor y presentarse utilizando el formato establecido por la UNSAAC.,Fiel,No
PRA-013,¿Quién me orienta para elaborar el plan de prácticas?,"El docente asesor es responsable de orientar al estudiante en la preparación, redacción y presentación del plan de práct...","El docente asesor es responsable de orientar al estudiante en la preparación, redacción y presentación del plan de prácticas. El documento debe seguir el formato establecido por la Dirección de Registro y Servicios Académicos.",Fiel,No
PRA-014,¿Debo presentar un informe final de prácticas preprofesionales?,Sí. Al concluir las prácticas debes preparar y presentar un informe final con la supervisión del docente asesor. El info...,"Sí. Al concluir las prácticas debes preparar y presentar un informe final con la supervisión del docente asesor. El informe debe exponer las actividades desarrolladas, la aplicación de competencias profesionales y los resultados obtenidos.",Fiel,No
PRA-015,¿El informe final de prácticas debe presentarse oralmente?,Sí. El Reglamento Académico contempla una presentación oral del informe final ante la Dirección de la Escuela Profesiona...,Sí. El Reglamento Académico contempla una presentación oral del informe final ante la Dirección de la Escuela Profesional. El docente asesor acompaña al estudiante durante está presentación.,Fiel,No
PRA-016,¿El asesor puede visitar el lugar donde realizo mis prácticas?,Sí. Entre las funciones del docente asesor se encuentra realizar visitas programadas a las entidades públicas o privadas...,Sí. Entre las funciones del docente asesor se encuentra realizar visitas programadas a las entidades públicas o privadas donde el estudiante desarrolla sus prácticas preprofesionales.,Fiel,No
PRA-017,¿Cómo solicito una carta de presentación para realizar prácticas?,"Para solicitar la carta de presentación del Decano debes presentar una solicitud dirigida al Rector, adjuntar tu ficha d...","Para solicitar la carta de presentación del Decano debes presentar una solicitud dirigida al Rector, adjuntar tu ficha de seguimiento académico y efectuar el pago vigente por el trámite. La carta sirve para presentarte formalmente ante la entidad receptora.",Fiel,No
PRA-018,¿Puedo solicitar el reconocimiento de prácticas realizadas anteriormente?,Las prácticas preprofesionales y otras modalidades susceptibles de convalidación pueden ser reconocidas mediante resoluc...,Las prácticas preprofesionales y otras modalidades susceptibles de convalidación pueden ser reconocidas mediante resolución del Decano. La resolución asigna los créditos y la categoría que correspondan según el currículo del estudiante.,Fiel,No
PRA-019,¿Las prácticas preprofesionales reciben una calificación?,Sí. Las prácticas preprofesionales son actividades académicas calificadas y están sujetas a evaluación. El docente respo...,"Sí. Las prácticas preprofesionales son actividades académicas calificadas y están sujetas a evaluación. El docente responsable debe planificar, ejecutar y comunicar los resultados de la evaluación de acuerdo con el calendario académico.",Fiel,No
PRA-020,¿La nota de prácticas aparece en mis documentos académicos?,Sí. Los promedios finales de las prácticas preprofesionales forman parte de los registros académicos oficiales. Pueden a...,Sí. Los promedios finales de las prácticas preprofesionales forman parte de los registros académicos oficiales. Pueden aparecer en la constancia de notas y en el certificado de estudios emitidos por la UNSAAC.,Fiel,No
PRA-021,¿Qué áreas son válidas para realizar prácticas en Ingeniería Informática y de Sistemas?,"Las actividades deben relacionarse con las competencias y áreas profesionales establecidas por la Escuela, como desarrol...","Las actividades deben relacionarse con las competencias y áreas profesionales establecidas por la Escuela, como desarrollo de software, sistemas de información, datos, inteligencia artificial, redes, infraestructura tecnológica o gestión de proyectos informáticos.",Fiel,No
PRA-022,¿Cuánto tiempo o número de horas mínimo se debe realizar de Prácticas Preprofesionales (PPP)?,El Reglamento de Prácticas de la Escuela Profesional de Ingeniería Informática y de Sistemas exige un mínimo acumulado d...,El Reglamento de Prácticas de la Escuela Profesional de Ingeniería Informática y de Sistemas exige un mínimo acumulado de **180 horas de prácticas preprofesionales** (o su equivalente de 8 créditos en el Plan 2025).,Fiel,No
PRA-023,¿Se pueden realizar las Prácticas Preprofesionales (PPP) dentro de la misma UNSAAC?,"Sí. Las Prácticas Preprofesionales pueden desarrollarse dentro de la propia universidad en centros de cómputo, laborator...","Sí. Las Prácticas Preprofesionales pueden desarrollarse dentro de la propia universidad en centros de cómputo, laboratorios especializados, proyectos tecnológicos de software de la EPIIS o dependencias administrativas universitarias que requieran desarrollo de sistemas y soporte TI.",Fiel,No
PRA-024,¿Las Prácticas Preprofesionales (PPP) son remuneradas o subvencionadas?,"Conforme a la Ley N° 28518 de Modalidades Formativas Laborales, las prácticas preprofesionales en empresas privadas o in...","Conforme a la Ley N° 28518 de Modalidades Formativas Laborales, las prácticas preprofesionales en empresas privadas o instituciones públicas pueden contar con una subvención económica mensual. En modalidades internas dentro de la universidad o convenios ad honórem, se valida el cumplimiento oficial de las horas requeridas para el egreso.",Fiel,No
BIE-001,¿Qué servicios ofrece la Dirección de Bienestar Universitario de la UNSAAC?,"La Dirección de Bienestar Universitario ofrece servicios de comedor universitario, atención de salud, asistencia social,...","La Dirección de Bienestar Universitario ofrece servicios de comedor universitario, atención de salud, asistencia social, apoyo psicológico, vivienda universitaria y actividades deportivas dirigidas a los estudiantes.",Fiel,No
BIE-002,"¿Cómo puedo coger, conseguir o acceder al comedor?",Para acceder o conseguir vacante en el Comedor Universitario deben cumplirse cuatro pasos:  1. **Ir al portal web de Bie...,Para acceder o conseguir vacante en el Comedor Universitario deben cumplirse cuatro pasos:  1. **Ir al portal web de Bienestar:** [bienestar.unsaac.edu.pe](http://bienestar.unsaac.edu.pe/) 2. **Autenticación:** Inicia sesión con tu código de estudiante y clave de voucher. 3. **Verificación en pantalla:** El sistema mostrará ÉXITO si reservaste cupo o ERROR si no hay vacantes o estás fuera de fecha. 4. **Pago de la tasa:** Realiza el pago presencial en la Caja Central UNSAAC o por internet en la Plataforma de Recaudación.  *Nota: El proceso solo se habilita cuando la Dirección de Bienestar publica un calendario activo con vacantes disponibles.*,Fiel,No
BIE-003,¿Cuáles son los requisitos para la Beca Comedor?,"Los requisitos de la Beca Comedor se establecen en cada convocatoria y pueden considerar la situación socioeconómica, la...","Los requisitos de la Beca Comedor se establecen en cada convocatoria y pueden considerar la situación socioeconómica, la condición académica y la documentación solicitada. El estudiante debe revisar las bases vigentes publicadas por Bienestar Universitario.",Fiel,No
BIE-004,¿Dónde queda el Centro Universitario de Salud?,La sede principal del Centro Universitario de Salud se ubica en la Ciudad Universitaria de Perayoc (Pabellón A) y tambié...,La sede principal del Centro Universitario de Salud se ubica en la Ciudad Universitaria de Perayoc (Pabellón A) y también se brinda atención en la filial de Kayra de acuerdo con los horarios vigentes establecidos.,Fiel,No
BIE-005,¿Qué servicios ofrece el Centro Universitario de Salud?,"El Centro Universitario de Salud ofrece atención gratuita en medicina general, odontología, psicología, enfermería y far...","El Centro Universitario de Salud ofrece atención gratuita en medicina general, odontología, psicología, enfermería y farmacia. Para acceder, el estudiante debe presentar su carné médico o constancia de matrícula vigente.",Fiel,No
BIE-006,¿Qué es la Vivienda Universitaria?,La Vivienda Universitaria es un programa de residencia destinado a estudiantes de provincias que cumplen con requisitos ...,La Vivienda Universitaria es un programa de residencia destinado a estudiantes de provincias que cumplen con requisitos socioeconómicos específicos evaluados por Asistencia Social.,Fiel,No
BIE-007,¿Dónde puedo solicitar apoyo psicológico si recién ingresé a la universidad?,Puedes solicitar orientación y atención psicológica en el Centro Universitario de Salud o en la Unidad de Salud y Psicop...,"Puedes solicitar orientación y atención psicológica en el Centro Universitario de Salud o en la Unidad de Salud y Psicopedagogía. Estos servicios atienden dificultades emocionales, académicas y de adaptación universitaria. Asimismo, puedes acudir a tu tutor académico o a un docente de tu carrera para que conozcan tu situación y coordinen tu derivación a Asistencia Social o apoyo psicológico.",Fiel,No
BIE-008,¿Qué apoyo ofrece Asistencia Social a los estudiantes ingresantes?,"La Unidad de Asistencia Social realiza orientación, evaluaciones socioeconómicas y gestión de beneficios estudiantiles. ...","La Unidad de Asistencia Social realiza orientación, evaluaciones socioeconómicas y gestión de beneficios estudiantiles. También desarrolla programas de apoyo para estudiantes que se encuentran en situación de vulnerabilidad.",Fiel,No
BIE-009,¿Puedo participar en actividades deportivas desde el primer semestre?,"Los estudiantes pueden informarse sobre campeonatos, escuelas deportivas, actividades recreativas y programas organizado...","Los estudiantes pueden informarse sobre campeonatos, escuelas deportivas, actividades recreativas y programas organizados por la Unidad de Deportes. Además de los torneos institucionales, puedes enterarte de los campeonatos deportivos de tu propia carrera (EPIIS) a través de tu Centro Federado y los grupos de WhatsApp oficiales.",Fiel,No
BIE-010,¿Qué apoyo brinda la Unidad de Asistencia Social de la UNSAAC?,"La Unidad de Asistencia Social brinda orientación social, realiza evaluaciones socioeconómicas y gestiona beneficios, ca...","La Unidad de Asistencia Social brinda orientación social, realiza evaluaciones socioeconómicas y gestiona beneficios, campañas solidarias y programas de apoyo para estudiantes que se encuentran en situaciones de vulnerabilidad.",Fiel,No
BIE-011,¿Quién evalúa mi situación socioeconómica para acceder a un beneficio estudiantil?,La evaluación socioeconómica corresponde a la Unidad de Asistencia Social de Bienestar Universitario. Esta unidad revisa...,La evaluación socioeconómica corresponde a la Unidad de Asistencia Social de Bienestar Universitario. Esta unidad revisa la situación del estudiante de acuerdo con los criterios y documentos establecidos para cada beneficio o convocatoria.,Fiel,No
